Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.8995E-05,-3.8995E-05,0.085394,0,0,0,0.25668,0.0010715,-2.2059E-13,-7.2465E-13,0.0010951,1.8044E-13,0.00014309,0,0,0,0,0,0,package://wheel_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_urdf/meshes/base_link.STL,,座子-1;8-3030F铝型材[8-3030F-S-OO-320]-1,base_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,7.20560763833866E-15,0.0091204066607712,0.0288697436850635,0,0,0,0.0384691172749358,1.34245733950468E-05,2.4633028927843E-18,9.25597534203361E-22,5.20692486512084E-06,-8.88927054089203E-22,1.65468488047905E-05,0,0,0,0,0,0,package://wheel_urdf/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_urdf/meshes/link1.STL,,M6x12x1垫片-2;Change_Over_Board(1).step-1;8xm6x16塞打螺丝-1;F628ZZ-3;长度调整块-2;长度调整块-1;固定座2-1;涨紧套-1,axis1,line1,joint1,continuous,-0.000100023615882267,-0.000100023615882305,0.3168,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link2,-0.000422193996269133,0.0359020285324367,0.0350217407298871,0,0,0,0.588570543422523,0.000868335490113796,3.47805827710633E-07,1.49885346337489E-07,0.00101129602560427,-4.79978162007259E-06,0.000221816791970069,0,0,0,0,0,0,package://wheel_urdf/meshes/link2.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://wheel_urdf/meshes/link2.STL,,11 编码器 IP54-BRT50-8mm轴.stp-1;砝码-1;配重块固定-1;走线-1;IMU-1;robotmasterA型板-1/电路板-1;MF6010-3D.step-1;10度固定连接-1;Pane1-1;robotmasterA型板-1/Swithc2-1;robotmasterA型板-1/Swithc4-1;robotmasterA型板-1/元件3-1;robotmasterA型板-1/1x3pin-w-1;robotmasterA型板-1/2Pin - 1.25mm-1;robotmasterA型板-1/can2-7;robotmasterA型板-1/can2-6;robotmasterA型板-1/can2-3;robotmasterA型板-1/can2-4;robotmasterA型板-1/can2-2;robotmasterA型板-1/can2-5;robotmasterA型板-1/STM32F427-1;robotmasterA型板-1/DS1040-03 (DIP_switch)-1;robotmasterA型板-1/OLED-1;robotmasterA型板-1/can2-8;robotmasterA型板-1/can1-5;robotmasterA型板-1/can1-4;robotmasterA型板-1/Amass_XT30U-F-7;robotmasterA型板-1/Amass_XT30U-F-3;robotmasterA型板-1/can1-1;robotmasterA型板-1/Amass_XT30U-F-4;robotmasterA型板-1/Amass_XT30U-F-2;robotmasterA型板-1/Amass_XT30U-F-6;robotmasterA型板-1/can2-1;robotmasterA型板-1/can1-6;robotmasterA型板-1/Amass_XT30PW-M-1;robotmasterA型板-1/can1-7;robotmasterA型板-1/can1-2;robotmasterA型板-1/can1-3;robotmasterA型板-1/Amass_XT30U-F-5;robotmasterA型板-1/元件2-1;robotmasterA型板-1/3x8-1;robotmasterA型板-1/1x3pin-1;robotmasterA型板-1/元件1-1;robotmasterA型板-1/2x10pin-1;robotmasterA型板-1/micro USB-1;robotmasterA型板-1/1x3pin-4;robotmasterA型板-1/1x3pin-2;robotmasterA型板-1/Amass_XT30U-F-1;robotmasterA型板-1/3x8-2;robotmasterA型板-1/1x3pin-3;robotmasterA型板-1/microsd-1;电池-1;电池固定架1-1;robotmasterA型板-1/4Pin - 1.25mm-1,axis2,line2,joint2,continuous,0,0.0339999999999989,0.0462,0,0,0,link1,0,1,0,,,,,,,,,,,,
wheel_link,-8.34835672813838E-17,8.32667268468867E-17,-3.69267234448523E-06,0,0,0,0.51812017798115,0.00109375279298174,-7.37363974077291E-19,2.35655177615068E-17,0.00109375279298174,-1.62630325872826E-19,0.00217888072418342,0,0,0,0,0,0,package://wheel_urdf/meshes/wheel_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://wheel_urdf/meshes/wheel_link.STL,,InitiaWheel2-1,axis3,line3,wheel_joint,continuous,0,0.073146,-0.13735,-2.0944,0,0,link2,0,0,-1,,,,,,,,,,,,
